Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm
SP1,2019-11-03,Valladolid,Mallorca,3,0,H,1,0,H,12,14,6,1,2,6,15,20,5,4,0,0,8,9,3,0,2,0,2,8,7
SP1,2019-11-03,Villarreal,Ath Bilbao,0,0,D,0,0,D,11,12,7,2,8,10,10,8,2,0,0,0,18,2,0,0,0,0,0,9,4
SP1,2019-11-03,Osasuna,Alaves,4,2,H,3,1,H,19,11,6,3,5,1,13,17,4,2,0,0,6,6,6,1,1,1,2,8,7
SP1,2019-11-03,Celta,Getafe,0,1,A,0,1,A,6,9,2,5,4,4,6,19,3,3,0,0,8,6,1,0,0,0,0,3,9
SP1,2019-11-03,Leganes,Eibar,1,2,A,1,1,D,12,7,5,4,4,2,16,20,5,2,0,0,6,7,3,1,0,1,1,3,7
SP1,2019-11-03,Granada,Sociedad,1,2,A,1,1,D,5,9,3,5,4,5,15,19,0,2,0,0,9,2,3,1,0,1,1,9,6
SP1,2019-11-08,Sociedad,Leganes,1,1,D,0,0,D,11,6,5,2,5,1,14,23,2,6,0,1,6,8,2,1,1,1,2,9,3
SP1,2019-11-09,Alaves,Valladolid,3,0,H,2,0,H,14,7,5,1,6,7,21,16,3,3,0,0,13,6,3,0,1,0,1,4,8
SP1,2019-11-09,Valencia,Granada,2,0,H,0,0,D,12,13,4,1,7,4,11,15,0,5,0,0,11,5,2,0,2,0,2,8,6
SP1,2019-11-09,Eibar,Real Madrid,0,4,A,0,3,A,14,10,1,5,6,6,9,8,0,0,0,0,12,0,4,0,0,1,1,7,8
SP1,2019-11-09,Barcelona,Celta,4,1,H,2,1,H,10,6,7,5,2,2,18,14,4,1,0,0,4,5,5,1,2,0,2,12,3
SP1,2019-11-10,Mallorca,Villarreal,3,1,H,2,0,H,5,22,3,6,2,5,18,17,2,3,0,0,7,5,4,1,1,1,2,7,7
SP1,2019-11-10,Ath Bilbao,Levante,2,1,H,0,1,A,23,8,10,2,10,2,13,13,3,2,0,0,12,5,3,1,2,0,2,5,9
SP1,2019-11-10,Ath Madrid,Espanol,3,1,H,1,1,D,18,10,5,1,9,2,12,15,2,2,0,0,11,4,4,1,2,0,2,7,3
SP1,2019-11-10,Getafe,Osasuna,0,0,D,0,0,D,14,4,5,1,9,5,15,16,2,4,0,0,14,6,0,0,0,0,0,12,10
SP1,2019-11-10,Betis,Sevilla,1,2,A,1,1,D,18,10,5,6,4,4,12,21,2,3,0,0,8,5,3,1,0,1,1,5,8
SP1,2019-11-22,Levante,Mallorca,2,1,H,0,0,D,13,14,6,7,3,6,13,9,2,1,1,0,9,3,3,1,2,1,3,6,7
SP1,2019-11-23,Leganes,Barcelona,1,2,A,1,0,H,9,11,4,6,0,6,11,10,1,2,0,0,6,3,3,1,0,2,2,4,12
SP1,2019-11-23,Betis,Valencia,2,1,H,1,1,D,25,9,8,3,5,4,9,13,2,2,0,0,9,4,3,1,1,0,1,4,8
SP1,2019-11-23,Granada,Ath Madrid,1,1,D,0,0,D,9,17,3,6,2,8,15,17,4,3,0,0,10,7,2,1,1,1,2,6,9
SP1,2019-11-23,Real Madrid,Sociedad,3,1,H,1,1,D,18,11,10,6,4,3,13,16,1,1,0,0,7,2,4,1,2,0,2,10,10
SP1,2019-11-24,Espanol,Getafe,1,1,D,1,1,D,6,11,2,2,3,3,23,12,3,4,0,0,6,7,2,1,0,0,0,3,10
SP1,2019-11-24,Osasuna,Ath Bilbao,1,2,A,0,1,A,12,6,7,4,6,2,15,18,4,3,0,0,8,7,3,1,1,1,2,8,8
SP1,2019-11-24,Eibar,Alaves,0,2,A,0,0,D,18,7,7,5,10,4,10,11,1,2,0,0,14,3,2,0,0,2,2,6,7
SP1,2019-11-24,Villarreal,Celta,1,3,A,0,0,D,15,11,1,7,8,2,12,9,3,2,0,0,10,5,4,1,1,3,4,7,0
SP1,2019-11-24,Valladolid,Sevilla,0,1,A,0,1,A,7,4,1,2,8,4,13,25,3,4,0,1,12,7,1,0,0,0,0,7,11
SP1,2019-11-29,Celta,Valladolid,0,0,D,0,0,D,13,9,5,2,11,3,11,17,1,3,0,0,14,4,0,0,0,0,0,3,6
SP1,2019-11-30,Alaves,Real Madrid,1,2,A,0,0,D,8,12,2,6,9,4,18,11,4,3,0,0,13,7,3,1,1,2,3,7,10
SP1,2019-11-30,Sociedad,Eibar,4,1,H,1,1,D,15,10,4,4,6,4,8,12,1,4,0,0,10,5,5,1,3,0,3,7,6
SP1,2019-11-30,Mallorca,Betis,1,2,A,0,2,A,16,15,7,3,6,5,16,15,3,4,1,0,11,7,3,1,1,0,1,4,7
SP1,2019-11-30,Valencia,Villarreal,2,1,H,0,0,D,13,24,7,7,6,4,8,17,1,2,0,0,10,3,3,1,2,1,3,7,4
SP1,2019-12-01,Sevilla,Leganes,1,0,H,0,0,D,16,8,8,4,7,4,16,7,3,3,0,0,11,6,1,0,1,0,1,11,4
SP1,2019-12-01,Ath Bilbao,Granada,2,0,H,1,0,H,14,8,6,1,4,3,18,16,5,4,0,0,7,9,2,0,1,0,1,10,4
SP1,2019-12-01,Espanol,Osasuna,2,4,A,1,0,H,12,14,5,8,2,3,12,16,1,4,0,1,5,5,6,1,1,4,5,4,8
SP1,2019-12-01,Getafe,Levante,4,0,H,0,0,D,13,7,9,2,6,7,22,14,2,3,0,0,13,5,4,0,4,0,4,8,9
SP1,2019-12-01,Ath Madrid,Barcelona,0,1,A,0,0,D,17,13,2,5,9,5,12,11,4,4,0,0,14,8,1,0,0,1,1,9,12
SP1,2019-12-06,Villarreal,Ath Madrid,0,0,D,0,0,D,23,18,3,3,11,6,11,11,2,1,0,0,17,3,0,0,0,0,0,1,6
SP1,2019-12-07,Real Madrid,Espanol,2,0,H,1,0,H,18,6,8,2,5,3,15,13,4,3,1,0,8,7,2,0,1,0,1,13,1
SP1,2019-12-07,Granada,Alaves,3,0,H,0,0,D,13,5,3,1,6,2,16,17,1,4,0,2,8,5,3,0,3,0,3,1,7
SP1,2019-12-07,Levante,Valencia,2,4,A,2,1,H,17,10,6,6,5,1,14,14,5,2,1,0,6,7,6,1,0,3,3,9,10
SP1,2019-12-07,Barcelona,Mallorca,5,2,H,4,1,H,25,9,17,3,8,4,15,10,3,0,0,0,12,3,7,1,1,1,2,12,4
SP1,2019-12-08,Eibar,Getafe,0,1,A,0,0,D,6,6,3,3,3,8,16,15,5,1,1,0,11,6,1,0,0,1,1,6,11
SP1,2019-12-08,Betis,Ath Bilbao,3,2,H,3,1,H,10,8,6,2,3,3,12,15,2,4,0,0,6,6,5,1,0,1,1,10,13
SP1,2019-12-08,Valladolid,Sociedad,0,0,D,0,0,D,4,16,2,2,1,4,10,19,0,4,0,0,5,4,0,0,0,0,0,4,7
SP1,2019-12-08,Leganes,Celta,3,2,H,2,0,H,15,9,8,4,3,5,14,11,3,3,0,1,8,6,5,1,1,2,3,1,4
SP1,2019-12-08,Osasuna,Sevilla,1,1,D,1,1,D,10,13,1,4,2,6,22,10,4,4,1,0,8,8,2,1,0,0,0,8,11
SP1,2019-12-13,Alaves,Leganes,1,1,D,0,1,A,10,3,3,1,2,0,14,17,2,3,0,0,2,5,2,1,1,0,1,6,4
SP1,2019-12-14,Granada,Levante,1,2,A,0,0,D,18,13,4,6,8,6,14,12,4,3,0,0,14,7,3,1,1,2,3,4,6
SP1,2019-12-14,Sociedad,Barcelona,2,2,D,1,1,D,19,9,5,5,8,5,7,8,0,1,0,0,13,1,4,1,1,1,2,8,12
SP1,2019-12-14,Ath Bilbao,Eibar,0,0,D,0,0,D,8,8,3,2,6,7,7,12,3,3,0,0,13,6,0,0,0,0,0,10,3
SP1,2019-12-14,Ath Madrid,Osasuna,2,0,H,0,0,D,19,15,9,3,6,5,16,10,2,1,0,0,11,3,2,0,2,0,2,6,8
SP1,2019-12-15,Getafe,Valladolid,2,0,H,1,0,H,7,10,3,3,4,3,28,10,3,3,0,0,7,6,2,0,1,0,1,11,5
SP1,2019-12-15,Celta,Mallorca,2,2,D,1,1,D,18,8,7,2,3,3,14,16,3,5,0,1,6,8,4,1,1,1,2,4,3
SP1,2019-12-15,Espanol,Betis,2,2,D,2,1,H,16,10,4,5,7,5,26,13,4,1,0,0,12,5,4,1,0,1,1,1,10
SP1,2019-12-15,Sevilla,Villarreal,1,2,A,0,1,A,24,9,5,3,14,2,12,11,2,0,0,0,16,2,3,1,1,1,2,11,2
SP1,2019-12-15,Valencia,Real Madrid,1,1,D,0,0,D,9,19,6,6,1,2,11,15,1,2,0,0,3,3,2,1,1,1,2,12,13
SP1,2019-12-18,Barcelona,Real Madrid,0,0,D,0,0,D,9,17,2,4,2,6,5,17,3,5,0,0,8,8,0,0,0,0,0,13,13
