Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TotalCorners,TotalYellowCards,TotalGoals,BothTeamsScored,2ndHalfHomeGoals,2ndHalfAwayGoals,2ndHalfTotalGoals,HomeForm,AwayForm,HomeH2HResults,AwayH2HResults,HomeH2HGD,AwayH2HGD
SP1,2022-09-03,Sevilla,Barcelona,0,3,A,0,2,A,9,18,4,7,4,4,15,14,2,4,0,0,8,6,3,0,0,1,1,1,7,0,0,0,0
SP1,2022-09-04,Osasuna,Vallecano,2,1,H,0,0,D,13,5,6,3,4,0,14,16,2,2,0,0,4,4,3,1,2,1,3,6,4,0,0,0,0
SP1,2022-09-04,Ath Bilbao,Espanol,0,1,A,0,0,D,17,9,2,2,4,2,12,12,3,2,0,0,6,5,1,0,0,1,1,7,1,0,0,0,0
SP1,2022-09-04,Villarreal,Elche,4,0,H,2,0,H,18,7,10,0,6,4,10,9,1,3,0,0,10,4,4,0,2,0,2,7,1,0,0,0,0
SP1,2022-09-04,Valencia,Getafe,5,1,H,3,0,H,24,7,9,4,9,1,11,21,3,6,1,1,10,9,6,1,2,1,3,3,1,0,0,0,0
SP1,2022-09-05,Valladolid,Almeria,1,0,H,0,0,D,14,12,6,1,2,8,11,20,1,6,0,0,10,7,1,0,1,0,1,1,4,0,0,0,0
SP1,2022-09-09,Girona,Valladolid,2,1,H,1,1,D,14,14,5,4,3,12,11,15,0,2,0,0,15,2,3,1,1,0,1,4,4,0,0,0,0
SP1,2022-09-10,Vallecano,Valencia,2,1,H,1,0,H,14,17,6,4,7,7,22,11,5,2,0,0,14,7,3,1,1,1,2,4,6,0,0,0,0
SP1,2022-09-10,Espanol,Sevilla,2,3,A,1,3,A,19,11,5,7,9,3,11,14,3,5,0,1,12,8,5,1,1,0,1,4,1,0,0,0,0
SP1,2022-09-10,Cadiz,Barcelona,0,4,A,0,0,D,6,16,0,8,5,6,12,13,1,2,0,0,11,3,4,0,0,4,4,0,10,0,0,0,0
SP1,2022-09-10,Ath Madrid,Celta,4,1,H,1,0,H,10,14,4,3,4,7,11,6,2,3,0,0,11,5,5,1,3,1,4,7,7,0,0,0,0
SP1,2022-09-11,Real Madrid,Mallorca,4,1,H,1,1,D,22,5,7,2,4,3,7,15,3,5,0,0,7,8,5,1,3,0,3,12,5,0,0,0,0
SP1,2022-09-11,Elche,Ath Bilbao,1,4,A,0,4,A,9,16,2,8,5,5,15,9,3,0,0,0,10,3,5,1,1,0,1,1,7,0,0,0,0
SP1,2022-09-11,Getafe,Sociedad,2,1,H,1,0,H,8,13,3,6,3,7,9,16,4,1,0,0,10,5,3,1,1,1,2,1,7,0,0,0,0
SP1,2022-09-11,Betis,Villarreal,1,0,H,0,0,D,16,14,5,3,9,8,11,14,1,1,0,0,17,2,1,0,1,0,1,9,10,0,0,0,0
SP1,2022-09-12,Almeria,Osasuna,0,1,A,0,1,A,7,15,2,4,5,10,4,9,0,2,0,0,15,2,1,0,0,0,0,4,9,0,0,0,0
SP1,2022-09-16,Valladolid,Cadiz,0,1,A,0,0,D,18,7,6,1,8,2,12,19,1,4,0,0,10,5,1,0,0,1,1,4,0,0,0,0,0
SP1,2022-09-17,Mallorca,Almeria,1,0,H,1,0,H,5,9,2,3,5,2,15,14,3,6,0,0,7,9,1,0,0,0,0,5,4,0,0,0,0
SP1,2022-09-17,Barcelona,Elche,3,0,H,2,0,H,25,1,9,1,6,0,11,9,2,2,0,1,6,4,3,0,1,0,1,13,1,0,0,0,0
SP1,2022-09-17,Valencia,Celta,3,0,H,1,0,H,14,6,7,2,5,4,18,23,3,2,0,1,9,5,3,0,2,0,2,6,7,0,0,0,0
SP1,2022-09-17,Ath Bilbao,Vallecano,3,2,H,3,1,H,14,11,7,2,2,7,13,13,1,2,0,0,9,3,5,1,0,1,1,10,7,0,0,0,0
SP1,2022-09-18,Osasuna,Getafe,0,2,A,0,1,A,12,10,4,4,8,1,15,15,7,3,1,1,9,10,2,0,0,1,1,12,4,0,0,0,0
SP1,2022-09-18,Villarreal,Sevilla,1,1,D,0,1,A,17,12,7,1,6,4,15,12,1,5,0,0,10,6,2,1,1,0,1,10,4,0,0,0,0
SP1,2022-09-18,Betis,Girona,2,1,H,1,1,D,9,8,3,3,2,4,9,8,0,3,0,0,6,3,3,1,1,0,1,12,7,0,0,0,0
SP1,2022-09-18,Sociedad,Espanol,2,1,H,2,1,H,14,14,6,4,4,2,18,8,3,0,0,0,6,3,3,1,0,0,0,7,4,0,0,0,0
SP1,2022-09-18,Ath Madrid,Real Madrid,1,2,A,0,2,A,12,6,5,3,8,1,15,16,4,2,1,0,9,6,3,1,1,0,1,10,15,0,0,0,0
SP1,2022-09-30,Ath Bilbao,Almeria,4,0,H,2,0,H,17,8,4,2,11,2,17,8,1,3,0,0,13,4,4,0,2,0,2,12,4,0,0,0,0
SP1,2022-10-01,Cadiz,Villarreal,0,0,D,0,0,D,10,14,2,6,6,5,13,8,2,3,1,0,11,5,0,0,0,0,0,3,8,0,0,0,0
SP1,2022-10-01,Getafe,Valladolid,2,3,A,2,2,D,14,14,6,7,4,2,23,13,2,4,0,0,6,6,5,1,0,1,1,7,4,0,0,0,0
SP1,2022-10-01,Sevilla,Ath Madrid,0,2,A,0,1,A,14,20,3,6,5,7,9,12,3,2,0,0,12,5,2,0,0,1,1,5,7,0,0,0,0
SP1,2022-10-01,Mallorca,Barcelona,0,1,A,0,1,A,13,11,3,3,5,5,9,13,2,4,0,0,10,6,1,0,0,0,0,7,15,0,0,0,0
SP1,2022-10-02,Espanol,Valencia,2,2,D,0,0,D,10,12,5,5,6,4,16,15,2,1,1,1,10,3,4,1,2,2,4,3,6,0,0,0,0
SP1,2022-10-02,Celta,Betis,1,0,H,1,0,H,11,9,4,4,5,3,26,3,4,3,0,1,8,7,1,0,0,0,0,6,12,0,0,0,0
SP1,2022-10-02,Girona,Sociedad,3,5,A,2,2,D,16,11,8,5,2,2,9,19,3,1,0,0,4,4,8,1,1,3,4,7,7,0,0,0,0
SP1,2022-10-02,Real Madrid,Osasuna,1,1,D,1,0,H,22,8,4,2,10,2,9,13,1,2,0,1,12,3,2,1,0,1,1,15,9,0,0,0,0
SP1,2022-10-03,Vallecano,Elche,2,1,H,1,1,D,15,5,6,2,13,3,5,19,1,8,0,0,16,9,3,1,1,0,1,6,1,0,0,0,0
SP1,2022-10-07,Osasuna,Valencia,1,2,A,0,1,A,11,15,2,7,7,5,11,19,3,6,2,1,12,9,3,1,1,1,2,7,7,0,0,0,0
SP1,2022-10-08,Almeria,Vallecano,3,1,H,3,0,H,10,12,4,4,7,6,22,12,4,2,1,0,13,6,4,1,0,1,1,3,6,0,0,0,0
SP1,2022-10-08,Ath Madrid,Girona,2,1,H,1,0,H,13,11,7,4,8,3,12,13,3,1,0,0,11,4,3,1,1,1,2,10,4,0,0,0,0
SP1,2022-10-08,Sevilla,Ath Bilbao,1,1,D,1,0,H,10,21,3,4,5,7,19,14,4,0,0,1,12,4,2,1,0,1,1,4,12,0,0,0,0
SP1,2022-10-08,Getafe,Real Madrid,0,1,A,0,1,A,9,19,2,4,4,4,10,5,0,0,0,0,8,0,1,0,0,0,0,7,13,0,0,0,0
SP1,2022-10-09,Valladolid,Betis,0,0,D,0,0,D,12,4,3,1,3,1,12,16,1,1,0,1,4,2,0,0,0,0,0,6,9,0,0,0,0
SP1,2022-10-09,Cadiz,Espanol,2,2,D,1,0,H,8,9,3,6,8,3,13,12,4,4,0,0,11,8,4,1,1,2,3,4,4,0,0,0,0
SP1,2022-10-09,Sociedad,Villarreal,1,0,H,1,0,H,17,5,5,1,9,3,21,18,5,3,0,0,12,8,1,0,0,0,0,10,6,0,0,0,0
SP1,2022-10-09,Barcelona,Celta,1,0,H,1,0,H,13,14,5,3,6,3,16,9,2,4,0,0,9,6,1,0,0,0,0,15,9,0,0,0,0
SP1,2022-10-10,Elche,Mallorca,1,1,D,1,0,H,7,11,2,4,5,7,12,17,4,5,1,1,12,9,2,1,0,1,1,0,7,0,0,0,0
SP1,2022-10-14,Vallecano,Getafe,0,0,D,0,0,D,16,6,3,3,4,1,13,17,2,3,0,0,5,5,0,0,0,0,0,6,6,0,0,0,0
SP1,2022-10-15,Girona,Cadiz,1,1,D,0,0,D,23,9,6,2,6,2,16,9,5,4,0,0,8,9,2,1,1,1,2,4,5,0,0,0,0
SP1,2022-10-15,Valencia,Elche,2,2,D,2,1,H,20,8,8,6,6,1,14,19,3,6,0,0,7,9,4,1,0,1,1,10,1,0,0,0,0
SP1,2022-10-15,Mallorca,Sevilla,0,1,A,0,0,D,9,4,5,1,1,3,17,15,2,3,0,0,4,5,1,0,0,1,1,5,5,0,0,0,0
SP1,2022-10-15,Ath Bilbao,Ath Madrid,0,1,A,0,0,D,13,3,3,1,6,1,14,17,0,6,0,0,7,6,1,0,0,1,1,10,10,0,0,0,0
SP1,2022-10-16,Celta,Sociedad,1,2,A,1,1,D,10,8,3,6,1,6,14,17,5,7,1,0,7,12,3,1,0,1,1,6,10,0,0,0,0
SP1,2022-10-16,Real Madrid,Barcelona,3,1,H,2,0,H,8,18,4,5,2,3,11,14,2,2,0,0,5,4,4,1,1,1,2,13,15,0,0,0,0
SP1,2022-10-16,Espanol,Valladolid,1,0,H,0,0,D,15,14,3,2,6,4,13,11,1,4,0,0,10,5,1,0,1,0,1,5,7,0,0,0,0
SP1,2022-10-16,Betis,Almeria,3,1,H,1,0,H,15,12,6,5,9,3,6,7,1,1,0,0,12,2,4,1,2,1,3,7,3,0,0,0,0
SP1,2022-10-17,Villarreal,Osasuna,2,0,H,1,0,H,12,14,9,3,8,4,14,23,2,6,0,0,12,8,2,0,1,0,1,5,7,0,0,0,0
SP1,2022-10-18,Sevilla,Valencia,1,1,D,0,1,A,18,13,5,5,11,6,11,26,4,7,1,0,17,11,2,1,1,0,1,8,8,0,0,0,0
SP1,2022-10-18,Getafe,Ath Bilbao,2,2,D,1,1,D,11,14,4,4,7,4,14,11,7,4,0,0,11,11,4,1,1,1,2,7,10,0,0,0,0
SP1,2022-10-18,Ath Madrid,Vallecano,1,1,D,1,0,H,12,14,4,4,3,4,11,11,3,0,0,0,7,3,2,1,0,1,1,12,7,0,0,0,0
SP1,2022-10-19,Cadiz,Betis,0,0,D,0,0,D,13,12,3,3,4,9,15,7,1,2,0,1,13,3,0,0,0,0,0,6,10,0,0,0,0
SP1,2022-10-19,Valladolid,Celta,4,1,H,1,1,D,9,22,7,5,3,7,12,11,1,1,0,0,10,2,5,1,3,0,3,4,3,0,0,0,0
SP1,2022-10-19,Sociedad,Mallorca,1,0,H,1,0,H,14,12,7,3,10,7,18,9,1,2,0,0,17,3,1,0,0,0,0,12,4,0,0,0,0
SP1,2022-10-19,Elche,Real Madrid,0,3,A,0,1,A,10,10,3,7,8,2,14,10,1,1,0,0,10,2,3,0,0,2,2,2,13,0,0,0,0
SP1,2022-10-20,Almeria,Girona,3,2,H,3,0,H,13,14,7,5,4,5,14,14,1,3,0,0,9,4,5,1,0,2,2,3,4,0,0,0,0
SP1,2022-10-20,Osasuna,Espanol,1,0,H,0,0,D,17,5,5,3,9,2,17,15,1,2,0,0,11,3,1,0,1,0,1,4,5,0,0,0,0
SP1,2022-10-20,Barcelona,Villarreal,3,0,H,3,0,H,16,5,5,1,8,0,18,11,0,1,0,0,8,1,3,0,0,0,0,12,5,0,0,0,0
SP1,2022-10-22,Vallecano,Cadiz,5,1,H,2,0,H,28,3,11,0,10,1,13,12,1,4,1,2,11,5,6,1,3,1,4,5,7,0,0,0,0
SP1,2022-10-22,Valladolid,Sociedad,1,0,H,1,0,H,9,20,2,2,4,10,19,14,2,3,0,0,14,5,1,0,0,0,0,7,15,0,0,0,0
SP1,2022-10-22,Valencia,Mallorca,1,2,A,0,0,D,13,10,3,5,5,3,14,19,3,5,0,0,8,8,3,1,1,2,3,9,4,0,0,0,0
SP1,2022-10-22,Real Madrid,Sevilla,3,1,H,1,0,H,18,9,6,2,4,3,9,12,1,4,0,0,7,5,4,1,2,1,3,13,6,0,0,0,0
SP1,2022-10-23,Espanol,Elche,2,2,D,1,1,D,13,9,5,4,5,3,13,10,2,3,0,0,8,5,4,1,1,1,2,5,2,0,0,0,0
SP1,2022-10-23,Betis,Ath Madrid,1,2,A,0,0,D,17,9,4,3,7,4,10,17,2,3,0,0,11,5,3,1,1,2,3,8,10,0,0,0,0
SP1,2022-10-23,Girona,Osasuna,1,1,D,1,1,D,7,9,1,2,3,5,11,11,2,3,0,0,8,5,2,1,0,0,0,1,4,0,0,0,0
SP1,2022-10-23,Villarreal,Almeria,2,1,H,0,1,A,11,15,5,4,10,4,7,8,4,1,1,0,14,5,3,1,2,0,2,5,6,0,0,0,0
SP1,2022-10-23,Barcelona,Ath Bilbao,4,0,H,3,0,H,10,5,7,3,1,2,7,13,2,2,0,0,3,4,4,0,1,0,1,12,8,0,0,0,0
SP1,2022-10-24,Celta,Getafe,1,1,D,0,1,A,17,4,5,1,10,0,10,13,1,1,0,0,10,2,2,1,1,0,1,3,5,0,0,0,0
SP1,2022-10-28,Mallorca,Espanol,1,1,D,0,0,D,12,7,5,2,4,4,15,9,4,1,0,0,8,5,2,1,1,1,2,4,6,0,0,0,0
SP1,2022-10-29,Almeria,Celta,3,1,H,0,1,A,19,8,5,3,6,4,10,7,4,0,0,1,10,4,4,1,3,0,3,6,4,0,0,0,0
SP1,2022-10-29,Cadiz,Ath Madrid,3,2,H,1,0,H,10,15,7,7,5,3,15,12,2,4,0,0,8,6,5,1,2,2,4,4,13,0,0,0,0
SP1,2022-10-29,Sevilla,Vallecano,0,1,A,0,0,D,10,15,4,5,6,6,9,20,6,1,0,0,12,7,1,0,0,1,1,5,8,0,0,0,0
SP1,2022-10-29,Valencia,Barcelona,0,1,A,0,0,D,3,13,2,2,3,10,13,7,4,5,0,0,13,9,1,0,0,1,1,6,12,0,0,0,0
SP1,2022-10-30,Osasuna,Valladolid,2,0,H,2,0,H,20,7,10,2,1,8,14,16,1,3,0,0,9,4,2,0,0,0,0,5,10,0,0,0,0
SP1,2022-10-30,Real Madrid,Girona,1,1,D,0,0,D,19,8,6,2,7,1,16,8,3,3,1,0,8,6,2,1,1,1,2,13,2,0,0,0,0
SP1,2022-10-30,Ath Bilbao,Villarreal,1,0,H,0,0,D,19,6,7,3,6,2,12,10,2,1,0,0,8,3,1,0,1,0,1,5,7,0,0,0,0
SP1,2022-10-30,Sociedad,Betis,0,2,A,0,0,D,14,10,7,4,5,3,22,16,4,4,0,0,8,8,2,0,0,2,2,12,5,0,0,0,0
SP1,2022-10-31,Elche,Getafe,0,1,A,0,0,D,12,8,5,3,6,2,12,11,0,3,0,1,8,3,1,0,0,1,1,3,3,0,0,0,0
SP1,2022-11-04,Girona,Ath Bilbao,2,1,H,0,0,D,19,11,10,7,7,1,11,11,1,1,0,0,8,2,3,1,2,1,3,3,5,0,0,0,0
SP1,2022-11-05,Getafe,Cadiz,0,0,D,0,0,D,13,15,2,4,5,5,15,16,5,2,2,1,10,7,0,0,0,0,0,6,6,0,0,0,0
SP1,2022-11-05,Valladolid,Elche,2,1,H,1,0,H,16,4,11,2,8,4,9,10,2,0,0,0,12,2,3,1,1,1,2,7,3,0,0,0,0
SP1,2022-11-05,Celta,Osasuna,1,2,A,1,2,A,13,8,5,4,2,3,12,20,1,5,0,0,5,6,3,1,0,0,0,1,7,0,0,0,0
SP1,2022-11-05,Barcelona,Almeria,2,0,H,0,0,D,27,4,13,1,9,1,14,13,2,1,0,0,10,3,2,0,2,0,2,12,9,0,0,0,0
SP1,2022-11-06,Ath Madrid,Espanol,1,1,D,0,0,D,27,6,7,2,12,2,13,10,3,5,0,1,14,8,2,1,1,1,2,10,6,0,0,0,0
SP1,2022-11-06,Sociedad,Valencia,1,1,D,1,1,D,9,14,4,3,1,11,11,12,2,0,1,0,12,2,2,1,0,0,0,9,5,0,0,0,0
SP1,2022-11-06,Villarreal,Mallorca,0,2,A,0,1,A,9,7,2,5,5,2,17,16,4,6,0,0,7,10,2,0,0,1,1,6,5,0,0,0,0
SP1,2022-11-06,Betis,Sevilla,1,1,D,1,0,H,9,22,4,6,1,4,6,20,4,5,2,1,5,9,2,1,0,1,1,8,5,0,0,0,0
SP1,2022-11-07,Vallecano,Real Madrid,3,2,H,2,2,D,15,16,7,2,4,5,22,11,4,5,0,0,9,9,5,1,1,0,1,8,13,0,0,0,0
SP1,2022-11-08,Elche,Girona,1,2,A,1,1,D,11,21,2,3,2,5,16,9,3,2,0,0,7,5,3,1,0,1,1,2,6,0,0,0,0
SP1,2022-11-08,Ath Bilbao,Valladolid,3,0,H,1,0,H,19,8,6,0,10,2,20,6,3,1,0,0,12,4,3,0,2,0,2,4,9,0,0,0,0
SP1,2022-11-08,Osasuna,Barcelona,1,2,A,1,0,H,15,9,3,3,2,5,15,6,4,4,0,2,7,8,3,1,0,2,2,10,12,0,0,0,0
SP1,2022-11-09,Almeria,Getafe,1,0,H,1,0,H,8,11,3,3,7,6,17,8,8,4,1,0,13,12,1,0,0,0,0,6,7,0,0,0,0
SP1,2022-11-09,Sevilla,Sociedad,1,2,A,1,2,A,6,17,3,9,2,1,9,12,2,2,2,0,3,4,3,1,0,0,0,5,7,0,0,0,0
SP1,2022-11-09,Espanol,Villarreal,0,1,A,0,0,D,14,10,6,3,4,7,11,6,1,3,0,0,11,4,1,0,0,1,1,6,6,0,0,0,0
